lat,lon,placette,peatdepth,label
47.3210833333333,2.27830555555556,p01,109,1
47.3214444444445,2.27844444444444,p02,127,2
47.3216111111111,2.27897222222222,p03,130,3
47.3210833333333,2.27897222222222,p04,70,4
47.3215277777778,2.28,p05,111,5
47.3220277777778,2.28,p06,108,6
47.3215277777778,2.28133333333333,p07,0,7
47.3220833333333,2.28202777777778,p08,97,8
47.3224722222222,2.2825,p09,0,9
47.3224166666667,2.28336111111111,p10,94,10
47.3228611111111,2.28369444444444,p11,134,11
47.3231388888889,2.28494444444444,p12,60.5,12
47.3236666666667,2.286,p13,37,13
47.3232222222222,2.28655555555556,p14,37,14
47.3236388888889,2.28669444444444,p15,51,15
47.3235833333333,2.28725,p16,36,16
47.3241111111111,2.28725,p17,58,17
47.3242777777778,2.28872222222222,p18,54,18
47.3248888888889,2.28911111111111,p19,81,19
47.3249166666667,2.28958333333333,p20,89,20
